route,route_type,garage_code,garage_name,operator,vehicle,destination_outbound,destination_inbound,destination_outbound_qualifier,destination_inbound_qualifier,destination_outbound_full,destination_inbound_full,additional_journeys,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
398,regular,SO,Harrow,First,SD,Wood End,Ruislip,Hemery Road,Ruislip Station,"Wood End, Hemery Road",Ruislip,,2.0,2.0,2.0,0.0,2.0,10.216,6.348
399,regular,NP,Northumberland Park,Go-Ahead,SD,Hadley Wood Station,"Barnet, The Spires",,The Spires,Hadley Wood Station,"Barnet, The Spires",,0.0,0.0,1.0,0.0,1.0,4.85,3.014
401,regular,BX,Bexleyheath,Go-Ahead,DD,"Bexleyheath, Shopping Centre",Thamesmead,Bexleyheath Clock Tower,Thamesmead Town Centre,"Bexleyheath, Shopping Centre, Bexleyheath Clock Tower",Thamesmead,,4.5,4.0,4.0,0.0,2.0,12.579,7.816
403,regular,C,Croydon,Go-Ahead,DD,West Croydon,Warlingham,West Croydon Bus Station,Warlingham / Sainsbury's,West Croydon,Warlingham,,5.0,5.0,5.0,0.0,3.0,10.248,6.368
404,regular,BC,Beddington,Transport UK,SD,Caterham-on-the-Hill,"Coulsdon, Cane Hill",Westway,Crawford Crescent,"Caterham-on-the-Hill, Westway","Coulsdon, Cane Hill, Crawford Crescent",,2.0,2.0,2.0,0.0,2.0,13.577,8.436
405,regular,TC,Croydon,Arriva,DD,West Croydon,Redhill,Park Street,Redhill Bus Station,"West Croydon, Park Street",Redhill,,4.0,4.0,4.0,0.0,3.0,17.607,10.941
406,regular,TV,Tolworth,First,DD,Epsom,Kingston,Epsom High Street,Cromwell Road Bus Station,Epsom,"Kingston, Cromwell Road Bus Station",,2.5,2.5,3.0,0.0,2.5,11.403,7.085
407,regular,BC,Beddington,Transport UK,DD,Caterham,"Sutton, Town Centre",Caterham Valley,Sutton / Marshall's Road,Caterham,"Sutton, Town Centre, Sutton / Marshall's Road",,5.0,5.0,5.0,0.0,3.0,22.053,13.703
410,regular,N; TH,Norwood; Thornton Heath,Arriva,SD,Wallington,Crystal Palace,Shotfield,Crystal Palace Parade,"Wallington, Shotfield",Crystal Palace,,6.5,5.5,6.0,0.0,4.0,15.448,9.599
411,regular,TV,Tolworth,First,DD,West Molesey,Kingston,Central Square,Cromwell Road Bus Station,"West Molesey, Central Square","Kingston, Cromwell Road Bus Station",,4.0,4.0,3.0,0.0,2.0,7.012,4.357
412,regular,TC,Croydon,Arriva,DD,West Croydon,Purley,Park Street,Purley High Street,"West Croydon, Park Street",Purley,,3.0,3.0,3.0,0.0,2.0,10.619,6.598
413,regular,AL,Merton,Go-Ahead,SD,Morden,"Sutton, Bushey Road",Morden Station,Sutton Bus Garage,Morden,"Sutton, Bushey Road, Sutton Bus Garage",,4.0,4.0,4.0,0.0,2.0,10.454,6.496
415,regular,QB,Battersea,Transport UK,DD,"Old Kent Road, Tesco",Tulse Hill,Burgess Park / Dunton Road,Tulse Hill Station,"Old Kent Road, Tesco, Burgess Park / Dunton Road",Tulse Hill,,5.0,5.0,5.0,0.0,3.0,8.621,5.357
417,regular,BN,Brixton Hill,Arriva,DD,Clapham Common,Crystal Palace,Omnibus Clapham,Crystal Palace Parade,"Clapham Common, Omnibus Clapham",Crystal Palace,,5.0,5.0,5.0,0.0,4.0,9.078,5.641
418,regular,TV,Tolworth,First,DD,Epsom,Kingston,Epsom Station,Cromwell Road Bus Station,Epsom,"Kingston, Cromwell Road Bus Station",,2.5,2.5,3.0,0.0,2.5,11.978,7.443
419,regular,AV,Hounslow,First,SD,"Roehampton, Bessborough Road",Richmond,Norley Vale,Richmond Bus Station,"Roehampton, Bessborough Road, Norley Vale",Richmond,,5.0,5.0,5.0,0.0,4.0,12.386,7.696
422,regular,PD,Plumstead,Stagecoach London,DD,"Bexleyheath, Shopping Centre",North Greenwich,Bexleyheath Clock Tower,North Greenwich Station,"Bexleyheath, Shopping Centre, Bexleyheath Clock Tower",North Greenwich,,5.5,5.5,6.0,0.0,5.0,18.717,11.63
423,regular,WK,Hounslow Heath,First,DD,Heathrow Terminal 5,"Hounslow, Bus Station",,,Heathrow Terminal 5,"Hounslow, Bus Station",,3.0,3.0,3.0,0.0,2.0,15.288,9.499
424,regular,SW,Stockwell,Go-Ahead,SD,"Fulham, Craven Cottage",Putney Heath,Stevenage Road / Fulham Football Club,Putney Heath / Green Man,"Fulham, Craven Cottage, Stevenage Road / Fulham Football Club",Putney Heath,,1.5,2.0,1.5,0.0,1.5,12.136,7.541
425,regular,BW,Bow,Stagecoach London,DD,"Clapton, Nightingale Road",Ilford,Kenninghall Road,Hainault Street,"Clapton, Nightingale Road, Kenninghall Road","Ilford, Hainault Street",,5.0,5.0,5.0,0.0,4.5,15.523,9.645
427,regular,GW,Southall,Transport UK,DD,"Southall, Merrick Road",Uxbridge,Bridge Road,York Road,"Southall, Merrick Road, Bridge Road","Uxbridge, York Road",,7.5,7.5,7.5,0.0,6.0,11.029,6.853
428,regular,DT,Dartford,Arriva,DD,Bluewater,Erith,Bluewater Shopping Centre,Erith Town Centre / Riverside,Bluewater,Erith,,4.0,4.0,4.0,0.0,2.0,15.718,9.767
430,regular,AF,Putney,Go-Ahead,DD,South Kensington,"Roehampton, Danebury Avenue",Victoria & Albert Museum,Minstead Gardens,"South Kensington, Victoria & Albert Museum","Roehampton, Danebury Avenue, Minstead Gardens",,4.5,4.5,4.5,0.0,4.5,10.889,6.766
432,regular,N,Norwood,Arriva,DD,Anerley Station,Brixton,Jasmine Grove,Brixton Station,"Anerley Station, Jasmine Grove",Brixton,,5.0,5.0,5.0,0.0,4.0,8.119,5.045
433,regular,BC,Beddington,Transport UK,SD,West Croydon,Addington Village,Park Street,Addington Village Interchange,"West Croydon, Park Street",Addington Village,,6.0,6.0,6.0,0.0,3.0,10.2,6.338
434,regular,C,Croydon,Go-Ahead,SD,Caterham,"Coulsdon, Ridgemount Avenue",Caterham Valley,Ridgemount Avenue,Caterham,"Coulsdon, Ridgemount Avenue",,2.0,2.0,2.0,0.0,2.0,15.403,9.571
436,regular,NX,New Cross,Go-Ahead,DD,Battersea Park Station,"Lewisham, Shopping Centre",,Molesworth Street,Battersea Park Station,"Lewisham, Shopping Centre, Molesworth Street",,5.0,5.0,5.0,0.0,5.0,11.954,7.428
439,regular,C,Croydon,Go-Ahead,SD,Whyteleafe South,Waddon Marsh,Wapses Lodge Roundabout,,"Whyteleafe South, Wapses Lodge Roundabout",Waddon Marsh,,2.0,1.5,2.0,0.0,1.5,10.696,6.646
440,regular,V,Stamford Brook,First,SD,"Wembley, First Way","Turnham Green, Church",First Way,,"Wembley, First Way","Turnham Green, Church",,4.0,4.0,4.0,0.0,4.0,14.382,8.936
444,regular,NP,Northumberland Park,Go-Ahead,SD,Chingford Station,Turnpike Lane Station,,Turnpike Lane Bus Station,Chingford Station,"Turnpike Lane Station, Turnpike Lane Bus Station",,5.0,5.0,5.0,0.0,4.0,12.469,7.748
450,regular,C,Croydon,Go-Ahead,SD,Lower Sydenham,West Croydon,Bell Green / Sainsbury's,West Croydon Bus Station,"Lower Sydenham, Bell Green / Sainsbury's",West Croydon,,5.5,5.5,5.5,0.0,4.0,13.689,8.506
452,regular,X,Westbourne Park,First,DD,Vauxhall,Notting Hill Gate,Vauxhall Bus Station,Notting Hill Gate Station,Vauxhall,Notting Hill Gate,,5.0,5.0,5.0,0.0,5.0,12.416,7.715
453,twentyfour,NX,New Cross,Go-Ahead,DD,Marylebone,Deptford Bridge,Great Central Street,,"Marylebone, Great Central Street",Deptford Bridge,,7.5,7.5,7.5,2.5,6.0,13.38,8.314
456,regular,NP,Northumberland Park,Go-Ahead,SD,North Middlesex Hospital,Crews Hill,,,North Middlesex Hospital,Crews Hill,,2.0,2.0,2.0,0.0,1.0,15.438,9.593
460,regular,AC,Willesden,Metroline,DD,North Finchley,"Willesden, Bus Garage",North Finchley Bus Station,Pound Lane,North Finchley,"Willesden, Bus Garage, Pound Lane",,5.0,5.0,5.0,0.0,4.0,10.13,6.294
462,regular,BK,Barking,Stagecoach London,SD,Ilford,Limes Farm Estate,Hainault Street,Limes Farm / Copperfield,"Ilford, Hainault Street","Limes Farm Estate, Limes Farm / Copperfield",,4.0,4.0,4.0,0.0,2.0,13.489,8.382
463,regular,C,Croydon,Go-Ahead,SD,Pollards Hill,Coulsdon South,,Coulsdon South Station,Pollards Hill,Coulsdon South,,3.0,3.0,3.0,0.0,2.0,21.678,13.47
464,regular,BC,Beddington,Transport UK,SD,New Addington,Tatsfield,New Addington Tram Stop,Tatsfield Village / Old Ship,New Addington,Tatsfield,,2.0,2.0,2.0,0.0,1.0,9.882,6.141
465,regular,TF,Fulwell (Twickenham),Transport UK,SD,Dorking,Kingston,South Street / Rose Hill,Cromwell Road Bus Station,"Dorking, South Street / Rose Hill","Kingston, Cromwell Road Bus Station",,2.0,1.5,2.0,0.0,1.5,26.867,16.694
466,regular,TC,Croydon,Arriva,DD,Caterham-on-the-Hill,Addington Village,Westway,Addington Village Interchange,"Caterham-on-the-Hill, Westway",Addington Village,466S,7.5,8.0,7.5,0.0,5.0,19.312,12.0
467,regular,TV,Tolworth,First,DD,Epsom,Hook or Hinchley Wood School,Epsom Hospital,Hinchley Wood School,Epsom,Hook or Hinchley Wood School,,1.5,1.0,1.0,0.0,1.0,9.566,5.944
468,regular,N,Norwood,Arriva,DD,Elephant & Castle,"South Croydon, South End",Borough Road,Warham Road / Brighton Road,"Elephant & Castle, Borough Road","South Croydon, South End, Warham Road / Brighton Road",,7.0,6.5,6.5,0.0,4.0,17.976,11.17
469,regular,MG,Morden Wharf (Greenwich),Go-Ahead,SD,Erith,Queen Elizabeth Hospital,Erith Town Centre / Riverside,Queen Elizabeth Hospital / West Entrance,Erith,Queen Elizabeth Hospital,,4.0,4.0,4.0,0.0,3.0,16.203,10.068
470,regular,GM,Ellis Road,Go-Ahead,SD,Sutton Station,Colliers Wood,,Colliers Wood Station,Sutton Station,Colliers Wood,,2.0,2.0,2.0,0.0,2.0,10.173,6.321
473,regular,DS,Henley Road,Go-Ahead,DD,Stratford,North Woolwich,Stratford Bus Station,North Woolwich Ferry,Stratford,North Woolwich,,5.5,5.5,5.5,0.0,4.0,9.322,5.792
474,twentyfour,DS,Henley Road,Go-Ahead,DD,Manor Park,"Canning Town, Hermit Road",Manor Park Station,Hermit Road,Manor Park,"Canning Town, Hermit Road",,5.0,5.0,5.0,2.5,4.0,15.356,9.542
476,regular,NP,Northumberland Park,Go-Ahead,DD,King's Cross,Northumberland Park,King's Cross Station / York Way,,King's Cross,Northumberland Park,,5.5,6.0,6.0,0.0,5.0,11.861,7.37
481,regular,AH; TF,Brentford; Fulwell (Twickenham),Metroline; Transport UK,DD,West Middlesex Hospital,Kingston,West London Mental Health Trust,Cromwell Road Bus Station,"West Middlesex Hospital, West London Mental Health Trust","Kingston, Cromwell Road Bus Station",481D,2.0,2.0,2.0,0.0,1.5,13.832,8.595
482,regular,GW,Southall,Transport UK,DD,Heathrow Terminal 5,"Southall, Town Hall",,,Heathrow Terminal 5,"Southall, Town Hall",,3.0,3.0,3.0,0.0,3.0,17.724,11.013
483,regular,PV,Perivale [East],Metroline,DD,Harrow,Windmill Park,Harrow Bus Station,Windmill Lane / Three Bridges,Harrow,"Windmill Park, Windmill Lane / Three Bridges",,5.5,5.5,5.5,0.0,5.0,16.793,10.435
484,regular,Q,Camberwell,Go-Ahead,SD,Camberwell Green,Lewisham Station,Denmark Hill / Camberwell Green,,Camberwell Green,Lewisham Station,,5.0,5.0,5.0,0.0,4.0,10.824,6.726
485,regular,QB,Battersea,Transport UK,SD,Wandsworth,"Castelnau, Lonsdale Road",Ram Street,Lonsdale Road,"Wandsworth, Ram Street","Castelnau, Lonsdale Road",,1.5,2.0,2.0,0.0,2.0,8.131,5.052
486,twentyfour,BX,Bexleyheath,Go-Ahead,DD,"Bexleyheath, Shopping Centre",North Greenwich,Friswell Place,North Greenwich Station,"Bexleyheath, Shopping Centre, Friswell Place",North Greenwich,,5.0,5.0,5.0,3.0,4.0,14.893,9.254
487,regular,WJ,Willesden Junction,Metroline,SD,Willesden Junction,South Harrow,Willesden Junction Station,South Harrow Bus Station,Willesden Junction,South Harrow,,4.5,4.5,4.5,0.0,3.0,14.335,8.907
488,regular,HO,Lea Interchange,Stagecoach London,SD,Dalston Junction,"Bromley-by-Bow, Tesco",Forest Road,Hancock Road,"Dalston Junction, Forest Road","Bromley-by-Bow, Tesco, Hancock Road",,4.0,4.0,4.0,0.0,3.0,9.598,5.964
490,regular,TF,Fulwell (Twickenham),Transport UK,SD,Heathrow Terminal 5,"Richmond, Pools on the Park",,Pools on the Park,Heathrow Terminal 5,"Richmond, Pools on the Park",,5.0,5.0,5.0,0.0,3.0,21.218,13.184
491,regular,PB,Potters Bar,Metroline,SD,North Middlesex Hospital,Waltham Cross,,Waltham Cross Bus Station,North Middlesex Hospital,Waltham Cross,,3.0,3.0,3.0,0.0,3.0,16.171,10.048
492,regular,DT,Dartford,Arriva,DD,Bluewater,Sidcup Station,Bluewater Shopping Centre,,Bluewater,Sidcup Station,,2.0,2.0,2.0,0.0,2.0,23.13,14.373
493,regular,BC,Beddington,Transport UK,SD,"Richmond, Manor Circus","Tooting, St. George's Hospital",Richmond Bus Station,St George's / University of London,"Richmond, Manor Circus, Richmond Bus Station","Tooting, St. George's Hospital, St George's / University of London",,4.0,4.5,4.0,0.0,3.0,19.399,12.054
496,regular,RM,Rainham,Stagecoach London,DD,"Romford, Queen's Hospital",Harold Wood Station,Queen's Hospital,,"Romford, Queen's Hospital",Harold Wood Station,,3.5,3.5,3.5,0.0,3.0,12.878,8.002
498,regular,NS,Romford,Stagecoach London,DD,Brentwood,"Romford, Queen's Hospital",Brentwood Sainsbury's,Queen's Hospital,Brentwood,"Romford, Queen's Hospital",,2.5,3.0,2.5,0.0,2.5,11.752,7.302
499,regular,RM,Rainham,Stagecoach London,SD,Heath Park Estate,"Gallows Corner, Tesco",Stansgate Road Shops,,"Heath Park Estate, Stansgate Road Shops","Gallows Corner, Tesco",,2.5,2.5,2.5,0.0,2.5,17.462,10.85
533,regular,SW,Stockwell,Go-Ahead,SD,"Castelnau, Lonsdale Road",Hammersmith,Lonsdale Road,Hammersmith Bus Station,"Castelnau, Lonsdale Road",Hammersmith,,4.0,4.0,4.0,0.0,4.0,9.141,5.68
601,school,MG,Morden Wharf (Greenwich),Go-Ahead,DD,Wilmington Schools,Thamesmead,Wilmington Hall School,Thamesmead Town Centre,"Wilmington Schools, Wilmington Hall School",Thamesmead,,,,,,0.0,18.259,11.345
602,school,PD,Plumstead,Stagecoach London,DD,Townley Grammar School,Thamesmead,,Thamesmead Town Centre,Townley Grammar School,Thamesmead,,,,,,0.0,14.841,9.222
603,school,HT,Holloway,Metroline,DD,Swiss Cottage,Muswell Hill,Swiss Cottage Station,,Swiss Cottage,Muswell Hill,,,,,,0.0,9.169,5.697
606,school,EW,Edgware,Metroline,DD,Totteridge Academy,Queensbury,The Totteridge Academy,Queensbury Station,Totteridge Academy,Queensbury,,,,,,0.0,15.486,9.623
608,school,RR,River Road,Go-Ahead,DD,Shenfield High School,Gallows Corner,,,Shenfield High School,Gallows Corner,,,,,,0.0,11.664,7.248
612,school,TH,Thornton Heath,Arriva,DD,Wallington Grammar School,Selsdon,The Holt,Farley Road,"Wallington Grammar School, The Holt","Selsdon, Farley Road",,,,,,0.0,10.722,6.662
613,school,TV,Tolworth,First,DD,Glenthorne School,Tolworth,Glenthorne High School,Tolworth Station,"Glenthorne School, Glenthorne High School",Tolworth,,,,,,0.0,13.029,8.096
616,school,WN,Wood Green,Arriva,DD,Edmonton Green,Winchmore Hill,Edmonton Green Bus Station,Old Park Ridings,Edmonton Green,"Winchmore Hill, Old Park Ridings",,,,,,0.0,11.142,6.923
617,school,PB,Potters Bar,Metroline,DD,St Ignatius College,Turnpike Lane Station,Turkey Street Station,Turnpike Lane Bus Station,"St Ignatius College, Turkey Street Station","Turnpike Lane Station, Turnpike Lane Bus Station",,,,,,0.0,10.692,6.644
618,school,GW,Southall,Transport UK,DD,Bolder Academy,Easedale House,,,Bolder Academy,Easedale House,,,,,,0.0,7.093,4.407
621,school,TL,Catford,Stagecoach London,DD,Crown Woods School,"Lewisham, Shopping Centre",Leigh Stationers' Academy,Lewisham Station,"Crown Woods School, Leigh Stationers' Academy","Lewisham, Shopping Centre, Lewisham Station",,,,,,0.0,8.368,5.2
624,school,MG,Morden Wharf (Greenwich),Go-Ahead,DD,Welling Corner,Grove Park,Welling Library,Grove Park Station,"Welling Corner, Welling Library",Grove Park,,,,,,0.0,9.131,5.674
625,school,MG,Morden Wharf (Greenwich),Go-Ahead,DD,"Chislehurst, War Memorial",Plumstead Common,Bromley Lane / Chislehurst War Memorial,Warwick Terrace / Plumstead Common Road,"Chislehurst, War Memorial",Plumstead Common,,,,,,0.0,11.474,7.13
626,school,PB,Potters Bar,Metroline,DD,Dame Alice Owen's School,Finchley Central,,Finchley Central Station,Dame Alice Owen's School,Finchley Central,,,,,,0.0,18.021,11.198
627,school,N,Norwood,Arriva,DD,Wallington High School,Worcester Park,Woodcote Green,Worcester Park Station,"Wallington High School, Woodcote Green",Worcester Park,,,,,,0.0,10.32,6.412
628,school,UB,Hatfield,Uno,DD,Southgate,,Southgate Station,,Southgate,,,,,,,0.0,18.537,11.519
629,school,PB,Potters Bar,Metroline,DD,St Ignatius College,Wood Green,Turkey Street Station,Wood Green Bus Garage,"St Ignatius College, Turkey Street Station",Wood Green,,,,,,0.0,11.786,7.324
631,school,W,Cricklewood,Metroline,SD,Henrietta Barnett School,Golders Green,,Golders Green Station,Henrietta Barnett School,Golders Green,,,,,,0.0,1.857,1.154
632,school,W,Cricklewood,Metroline,DD,Kilburn Park,"Grahame Park, Corner Mead",Kilburn Park Station,Saracens High School / South Mead,Kilburn Park,"Grahame Park, Corner Mead, Saracens High School / South Mead",,,,,,0.0,10.472,6.507
633,school,C,Croydon,Go-Ahead,DD,Pollards Hill,Coulsdon South,South Lodge Avenue / Yorkshire Road,Coulsdon South Station,"Pollards Hill, South Lodge Avenue / Yorkshire Road",Coulsdon South,,,,,,0.0,19.699,12.24
634,school,PB,Potters Bar,Metroline,DD,"Barnet, Arkley Hotel",Muswell Hill,Galley Lane,,"Barnet, Arkley Hotel, Galley Lane",Muswell Hill,,,,,,0.0,9.648,5.995
635,school,AH,Brentford,Metroline,DD,"Hounslow, Bus Station",St. Paul's School,,,"Hounslow, Bus Station",St. Paul's School,,,,,,0.0,10.861,6.749
638,school,TB,Bromley,Stagecoach London,DD,Kemnal Technology College,Coney Hall,,Glebe Way,Kemnal Technology College,"Coney Hall, Glebe Way",,,,,,0.0,17.036,10.586
639,school,QB,Battersea,Transport UK,DD,St John Bosco College,"Roehampton, Danebury Avenue",,Minstead Gardens,St John Bosco College,"Roehampton, Danebury Avenue, Minstead Gardens",,,,,,0.0,12.459,7.742
640,school,G,Greenford,Metroline,DD,Bentley Wood School,South Harrow,Bentley Wood High School,South Harrow Bus Station,"Bentley Wood School, Bentley Wood High School",South Harrow,,,,,,0.0,8.435,5.241
642,school,EW,Edgware,Metroline,DD,London Academy,West Hendon Broadway,,West Hendon Broadway / Herbert Road,London Academy,West Hendon Broadway,,,,,,0.0,10.203,6.34
643,school,UB,Hatfield,Uno,DD,East Finchley Schools,Brent Cross,Christ's College,Brent Cross Shopping Centre,"East Finchley Schools, Christ's College",Brent Cross,,,,,,0.0,5.778,3.59
645,school,TC,Croydon,Arriva,DD,Waddon Post Office,Purley,Purley Way / Waddon Road,Purley Cross,"Waddon Post Office, Purley Way / Waddon Road",Purley,,,,,,0.0,7.527,4.677
646,school,RR,River Road,Go-Ahead,SD,Cranham,Noak Hill,Moor Lane,Wincanton Road,"Cranham, Moor Lane","Noak Hill, Wincanton Road",,,,,,0.0,14.009,8.705
649,school,WH,West Ham,Stagecoach London,DD,Campion School,"Romford, Parkside Avenue",The Campion School,Cedar Road,Campion School,"Romford, Parkside Avenue, Cedar Road",,,,,,0.0,8.864,5.508
650,school,WH,West Ham,Stagecoach London,DD,Emerson Park School,"Romford, Parkside Avenue",Emerson Park Academy,Cedar Road,"Emerson Park School, Emerson Park Academy","Romford, Parkside Avenue, Cedar Road",,,,,,0.0,7.801,4.848
651,school,WH,West Ham,Stagecoach London,DD,Bower Park School,Romford Station,Chase Cross,,"Bower Park School, Chase Cross",Romford Station,,,,,,0.0,9.539,5.927
652,school,RR,River Road,Go-Ahead,DD,Upminster,"Rainham, Abbey Wood Lane",Upminster Station,Abbey Wood Lane,Upminster,"Rainham, Abbey Wood Lane",,,,,,0.0,12.205,7.584
653,school,UB,Hatfield,Uno,DD,"Kingsbury, The Mall",Muswell Hill,Jewish Free School,,"Kingsbury, The Mall, Jewish Free School",Muswell Hill,,,,,,0.0,12.55,7.798
655,school,BC,Beddington,Transport UK,DD,Raynes Park High School,Mitcham,,Love Lane,Raynes Park High School,"Mitcham, Love Lane",,,,,,0.0,7.089,4.405
656,school,RR,River Road,Go-Ahead,DD,"Gallows Corner, Tesco",Emerson Park School,,Emerson Park Academy,"Gallows Corner, Tesco","Emerson Park School, Emerson Park Academy",,,,,,0.0,8.976,5.578
657,school,T,Leyton,Stagecoach London,DD,Bancroft's School,"Crooked Billet, Sainsbury's",,Salisbury Hall Sainsbury's,Bancroft's School,"Crooked Billet, Sainsbury's, Salisbury Hall Sainsbury's",,,,,,0.0,6.829,4.243
658,school,MG,Morden Wharf (Greenwich),Go-Ahead,DD,Woolwich,Crown Woods School,Beresford Sq / Woolwich Arsenal Stn,Bexley Road / Reinckendorf Avenue,Woolwich,"Crown Woods School, Bexley Road / Reinckendorf Avenue",,,,,,0.0,9.496,5.901
660,school,TL,Catford,Stagecoach London,DD,Crown Woods School,"Bellingham, Catford Bus Garage",Leigh Stationers' Academy,Catford Garage,"Crown Woods School, Leigh Stationers' Academy","Bellingham, Catford Bus Garage, Catford Garage",,,,,,0.0,9.299,5.778
661,school,TL,Catford,Stagecoach London,DD,"Chislehurst, War Memorial",Petts Wood,Centre Common Road / War Memorial,Station Square / Petts Wood Station,"Chislehurst, War Memorial, Centre Common Road / War Memorial",Petts Wood,,,,,,0.0,7.277,4.522
662,school,TV,Tolworth,First,DD,Holy Cross School,Surbiton,Sandal Road / Holy Cross School,Claremont Road / Surbiton Station,Holy Cross School,Surbiton,,,,,,0.0,6.66,4.138
663,school,TH,Thornton Heath,Arriva,DD,"Purley, Harris Academy",Thornton Heath Station,Regina Coeli School,,"Purley, Harris Academy, Regina Coeli School",Thornton Heath Station,,,,,,0.0,6.61,4.107
664,school,MB,Orpington,Go-Ahead,DD,"New Addington, Homestead Way",Charles Darwin School,Homestead Way / Milne Park,,"New Addington, Homestead Way, Homestead Way / Milne Park",Charles Darwin School,,,,,,0.0,19.916,12.375
665,school,TV,Tolworth,First,SD,Holy Cross School,Surbiton,Sandal Road / Holy Cross School,Howard Road,Holy Cross School,"Surbiton, Howard Road",,,,,,0.0,7.889,4.902
667,school,BK; WH,Barking; West Ham,Stagecoach London,DD,West Hatch School,Ilford,Club House,Hainault Street,"West Hatch School, Club House","Ilford, Hainault Street",,,,,,0.0,9.428,5.858
669,school,PD,Plumstead,Stagecoach London,DD,Cleeve Park School,Thamesmead,Bexley Lane / Cleeve Park School,Thamesmead Town Centre,Cleeve Park School,Thamesmead,,,,,,0.0,18.511,11.502
670,school,QB,Battersea,Transport UK,DD,St John Bosco College,"Roehampton, Danebury Avenue",,Minstead Gardens,St John Bosco College,"Roehampton, Danebury Avenue, Minstead Gardens",,,,,,0.0,10.03,6.232
671,school,TF,Fulwell (Twickenham),Transport UK,DD,Chessington South,Tiffin Girls School,Chessington South Station,,Chessington South,Tiffin Girls School,,,,,,0.0,10.786,6.702
672,school,PD,Plumstead,Stagecoach London,DD,Woolwich,,Beresford Sq / Woolwich Arsenal Stn,,Woolwich,,,,,,,0.0,4.575,2.843
674,school,RM,Rainham,Stagecoach London,DD,Romford Station,"Harold Hill, Dagnam Park Square",,Dagnam Park Square,Romford Station,"Harold Hill, Dagnam Park Square",,,,,,0.0,8.75,5.437
675,school,AD,Palmers Green,Arriva,DD,Woodbridge School,St James's Street,Broadmead Road,South Grove,"Woodbridge School, Broadmead Road","St James's Street, South Grove",,,,,,0.0,12.861,7.992
677,school,NP,Northumberland Park,Go-Ahead,DD,Debden,Ilford,The Broadway,Hainault Street,"Debden, The Broadway","Ilford, Hainault Street",,,,,,0.0,20.526,12.754
678,unknown,,,,DD,Beckton Station,Stratford,Beckton Bus Station,Stratford Bus Station,"Beckton Station, Beckton Bus Station",Stratford,,,,,,0.0,9.927,6.168
679,school,RR,River Road,Go-Ahead,DD,Goodmayes,Woodford Wells,Goodmayes Lane,St Thomas of Canterbury Church,Goodmayes,"Woodford Wells, St Thomas of Canterbury Church",,,,,,0.0,13.091,8.135
681,school,FW,Fulwell,First,DD,Teddington School,"Hounslow, Bus Station",Broom Road / Teddington School,,Teddington School,"Hounslow, Bus Station",,,,,,0.0,11.464,7.123
683,school,UB,Hatfield,Uno,DD,"Kingsbury, The Mall",Friern Barnet,Jewish Free School,Colney Hatch Lane,"Kingsbury, The Mall, Jewish Free School","Friern Barnet, Colney Hatch Lane",,,,,,0.0,11.849,7.363
684,school,TB,Bromley,Stagecoach London,DD,Charles Darwin School,Orpington Station,,,Charles Darwin School,Orpington Station,,,,,,0.0,15.096,9.38
685,school,TC,Croydon,Arriva,DD,Selsdon,,Farley Road,,"Selsdon, Farley Road",,,,,,,0.0,3.545,2.203
686,school,RR,River Road,Go-Ahead,DD,"Harold Hill, Dagnam Park Square",St Edward's School,Stratton Road,,"Harold Hill, Dagnam Park Square, Stratton Road",St Edward's School,,,,,,0.0,6.366,3.955
687,school,RR,River Road,Go-Ahead,DD,Barking Station,Dagenham Park School,,Ridgewell Close,Barking Station,"Dagenham Park School, Ridgewell Close",,,,,,0.0,7.631,4.742
688,school,UB,Hatfield,Uno,DD,"Kingsbury, The Mall",Southgate,Jewish Free School,Southgate Station,"Kingsbury, The Mall, Jewish Free School",Southgate,,,,,,0.0,19.644,12.206
689,school,TH,Thornton Heath,Arriva,DD,Monks Orchard,West Croydon,Glade Gardens,West Croydon Bus Station,"Monks Orchard, Glade Gardens",West Croydon,,,,,,0.0,6.87,4.269
690,school,SW,Stockwell,Go-Ahead,DD,Burntwood School,West Norwood,,Norwood Bus Garage,Burntwood School,"West Norwood, Norwood Bus Garage",,,,,,0.0,11.58,7.195
695,school,AV,Hounslow,First,DD,Douay Martyrs School,West Drayton,Swakeleys Drive,Cherry Lane School,"Douay Martyrs School, Swakeleys Drive","West Drayton, Cherry Lane School",,,,,,0.0,9.36,5.816
696,school,AV,Hounslow,First,DD,Bishop Ramsey School,"Hayes, Bourne Avenue",Highgrove Pool & Fitness Centre,Conway Drive,"Bishop Ramsey School, Highgrove Pool & Fitness Centre","Hayes, Bourne Avenue, Conway Drive",,,,,,0.0,20.155,12.524
697,school,UX,Uxbridge Industrial Estate,Metroline,DD,Douay Martyrs School,"Hayes End, Lansbury Drive",Swakeleys Drive,Balmoral Drive,"Douay Martyrs School, Swakeleys Drive","Hayes End, Lansbury Drive, Balmoral Drive",,,,,,0.0,11.052,6.867
698,school,AV,Hounslow,First,DD,Douay Martyrs School,"Hayes, Bourne Avenue",Swakeleys Drive,Conway Drive,"Douay Martyrs School, Swakeleys Drive","Hayes, Bourne Avenue, Conway Drive",,,,,,0.0,11.343,7.048
699,school,UB,Hatfield,Uno,DD,Dame Alice Owen's School,Winchmore Hill,,Green Dragon Lane,Dame Alice Owen's School,"Winchmore Hill, Green Dragon Lane",,,,,,0.0,14.557,9.045
